bytebit,bval,description,notes
Byte1 bit8+7=00,00,AAC returned in 2nd Gen AC,This was an ONLINE Transaction. The card issued a final decision to Decline the transaction after the host system responded to the message.
Byte1 bit8+7=01,01,TC returned in 2nd Gen AC,This was an ONLINE Transaction. The card issued a final decision to Approve the transaction after the host system responded to the message.
Byte1 bit8+7=10,10,AC not requested in 2nd Gen AC,"This was an ONLINETransaction. The Terminal did not request an authorisation decision from the Card, and the transaction may not have completed normally."
Byte1 bit8+7=11,11,RFU,This means that this bit is Reserved for Future Use. It has no valid meaning at this point in time and may be ignored.
Byte1 bit6+5=00,00,AAC returned in 1st Gen AC,This was an OFFLINE Transaction. The card issued a final decision to Decline the transaction without requesting a decision from the host system. This decision was taken as a result of risk management processing by the Card and Terminal.
Byte1 bit6+5=01,01,TC returned in 1st Gen AC,This was an OFFLINE Transaction. The card issued a final decision to Approve the transaction without requesting a decision from the host system. This decision was taken as a result of risk management processing by the Card and Terminal.
Byte1 bit6+5=10,10,ARQC returned in 1st Gen AC,The card issued an initial decision to request an authorisation decision from the host system. This means that an ONLINE transaction should have been attempted. This decision was taken as a result of risk management processing by the Card and Terminal.
Byte1 bit6+5=11,11,RFU,This means that this bit is Reserved for Future Use. It has no valid meaning at this point in time and may be ignored.
Byte1 bit4,1,Date Check Failed,"During the transaction the Card compared the transaction date with the Last Online Transaction Date stored on the card. If the value of this difference is greater than the Maximum No Of Days Offline Limit, then this bit is set to True in CVR. The associated behaviour will be defined in the Card Issuer Action Codes of the card, but usually this requires that the transaction be sent online."
Byte1 bit3,1,Offline PIN verification performed,"This means that a Cardholder Verification Method (CVM) of Plaintext Offline PIN was selected during the transaction. This PIN is passed in the clear from the terminal to the card, and is verified by the card. The PIN is NOT sent online for verification."
Byte1 bit2,1,Offline encrypted PIN verification performed,"This means that a Cardholder Verification Method (CVM) of Plaintext Offline PIN was selected during the transaction. This PIN is passed in the clear from the terminal to the card, and is verified by the card. The PIN is NOT sent online for verification."
Byte1 bit1,1,Offline PIN verification successful,This indicates that the card successfully verified that the PIN entered by the cardholder was correct. This could be either Offline Plaintext or Offline Encrypted PIN.
Byte2 bit8,1,DDA returned,"During the transaction, the card was authenticated using the Offline Data Authentication method of DDA (Dynamic Data Authentication)"
